task_index,id,task,source_dataset,scene_id,group_id,object_id,bleurt_model_gt,question,ground_truth,model_response
948,SP-3a,space-perception,rwigle,scene_001,group_001,22e4e18ad4d14842a467ed4023b858a4,-1.479256510734558,What is the approximate distance in meters between <obj> and the ego vehicle?,47.8 m,25
949,SP-3a,space-perception,rwigle,scene_001,group_001_obj01,22e4e18ad4d14842a467ed4023b858a4,-1.479256510734558,What is the approximate distance in meters between <obj> and the ego vehicle?,47.8 m,25
950,SP-3a,space-perception,rwigle,scene_001,group_001_obj02,60fa879f6ab045668266ee9a5674a2b4,-1.4072911739349365,What is the approximate distance in meters between <obj> and the ego vehicle?,61.0 m,15
951,SP-3a,space-perception,rwigle,scene_001,group_002,2e26ff64232f4fa2b5d15f606a9006cf,-1.644172191619873,What is the approximate distance in meters between <obj> and the ego vehicle?,48.4 m,15
952,SP-3a,space-perception,rwigle,scene_001,group_002_obj01,38412e58d972491582cf21a19ea31a80,-1.4041839838027954,What is the approximate distance in meters between <obj> and the ego vehicle?,62.8 m,15
953,SP-3a,space-perception,rwigle,scene_001,group_002_obj02,8494228ce3a44718ae8dae72ddd5d60a,-1.4914422035217285,What is the approximate distance in meters between <obj> and the ego vehicle?,43.9 m,15
954,SP-3a,space-perception,rwigle,scene_001,group_003,7675b5112d384e4f916c221cfd523e91,-1.430219292640686,What is the approximate distance in meters between <obj> and the ego vehicle?,49.7 m,15
955,SP-3a,space-perception,rwigle,scene_001,group_003_obj01,d467009ee9824df9b2b5436983dd8140,-1.5961296558380127,What is the approximate distance in meters between <obj> and the ego vehicle?,29.0 m,15
956,SP-3a,space-perception,rwigle,scene_001,group_003_obj02,9c8c1d276b6442e58ffd85a40a2606b9,-1.6424171924591064,What is the approximate distance in meters between <obj> and the ego vehicle?,20.3 m,15
957,SP-3a,space-perception,rwigle,scene_001,group_004,a19ff9fc80ed47c2993d7090cf3714aa,-1.450270414352417,What is the approximate distance in meters between <obj> and the ego vehicle?,18.0 m,15
958,SP-3a,space-perception,rwigle,scene_001,group_004_obj01,c5dd13717bb8413e8518033b922a243a,-1.4215447902679443,What is the approximate distance in meters between <obj> and the ego vehicle?,42.1 m,15
959,SP-3a,space-perception,rwigle,scene_001,group_004_obj02,5ffda16998134a0c83c438a4448ae8c2,-1.2798023223876953,What is the approximate distance in meters between <obj> and the ego vehicle?,55.1 m,15
960,SP-3a,space-perception,rwigle,scene_001,group_005,35ec82b01741470f90341f95a226e04d,-1.508885145187378,What is the approximate distance in meters between <obj> and the ego vehicle?,14.7 m,1.5
961,SP-3a,space-perception,rwigle,scene_001,group_005_obj01,2d8c17d75f6b4c4fae8d94af49e35442,-1.5434412956237793,What is the approximate distance in meters between <obj> and the ego vehicle?,22.0 m,15
962,SP-3a,space-perception,rwigle,scene_001,group_005_obj02,f53797b9df2a43e781a12678e0f77bfa,-1.254471778869629,What is the approximate distance in meters between <obj> and the ego vehicle?,44.9 m,10
963,SP-3a,space-perception,rwigle,scene_001,group_006,62c0dc5385ae441eb4e6b2b9094c3357,-1.658494472503662,What is the approximate distance in meters between <obj> and the ego vehicle?,8.4 m,15
964,SP-3a,space-perception,rwigle,scene_001,group_006_obj01,efa0db2b25dc46de85cc6dd59dc50efd,-1.6359717845916748,What is the approximate distance in meters between <obj> and the ego vehicle?,61.9 m,0
965,SP-3a,space-perception,rwigle,scene_001,group_006_obj02,f40aea15a4584c7bae3e004e055b89ed,-1.4038053750991821,What is the approximate distance in meters between <obj> and the ego vehicle?,43.2 m,10
966,SP-3a,space-perception,rwigle,scene_001,group_007,9b44d26ecf3c4b378c565db0f5a34ee5,-1.4554271697998047,What is the approximate distance in meters between <obj> and the ego vehicle?,23.6 m,15
967,SP-3a,space-perception,rwigle,scene_001,group_007_obj01,5b627afd7a754127a71338d2b1f8db74,-1.4537718296051025,What is the approximate distance in meters between <obj> and the ego vehicle?,67.5 m,10
968,SP-3a,space-perception,rwigle,scene_001,group_007_obj02,92ff17eaebd84b33b671d9fb700c7bb6,-1.595634937286377,What is the approximate distance in meters between <obj> and the ego vehicle?,48.9 m,15
969,SP-3a,space-perception,rwigle,scene_002,group_001,4fb917eb17954177a6aa96784ea2829c,-1.521754264831543,What is the approximate distance in meters between <obj> and the ego vehicle?,52.3 m,12
970,SP-3a,space-perception,rwigle,scene_002,group_001_obj01,9fec083858f94a908f2958e46fb048ea,-1.5663845539093018,What is the approximate distance in meters between <obj> and the ego vehicle?,52.4 m,10
971,SP-3a,space-perception,rwigle,scene_002,group_001_obj02,a9b609f5604246b199cfbc68c7a93f40,-1.2736248970031738,What is the approximate distance in meters between <obj> and the ego vehicle?,99.1 m,10
972,SP-3a,space-perception,rwigle,scene_002,group_002,e891b3d6e16345b98532385e3a092bec,-1.1421220302581787,What is the approximate distance in meters between <obj> and the ego vehicle?,30.9 m,10
973,SP-3a,space-perception,rwigle,scene_002,group_002_obj01,4fe5cc89a0d2468cac6e6d37525252f0,-1.4530450105667114,What is the approximate distance in meters between <obj> and the ego vehicle?,44.2 m,10
974,SP-3a,space-perception,rwigle,scene_002,group_002_obj02,26094068634a45fd9e0b539b4b7944a6,-1.7028887271881104,What is the approximate distance in meters between <obj> and the ego vehicle?,22.8 m,15
975,SP-3a,space-perception,rwigle,scene_002,group_003,c6f9442d527545d5baf16da61fafbe67,-1.40149986743927,What is the approximate distance in meters between <obj> and the ego vehicle?,84.8 m,10
976,SP-3a,space-perception,rwigle,scene_002,group_003_obj01,109f33b1d4c84c16ad7e0781f10eb8ba,-1.3841381072998047,What is the approximate distance in meters between <obj> and the ego vehicle?,59.5 m,10
977,SP-3a,space-perception,rwigle,scene_002,group_003_obj02,c6f9442d527545d5baf16da61fafbe67,-1.40149986743927,What is the approximate distance in meters between <obj> and the ego vehicle?,84.8 m,10
978,SP-3a,space-perception,rwigle,scene_002,group_004,73f39bd362294a0c9b03eafe28be51be,-1.5230032205581665,What is the approximate distance in meters between <obj> and the ego vehicle?,24.8 m,15
979,SP-3a,space-perception,rwigle,scene_002,group_004_obj01,8192c889b369421085118cecd4150907,-1.5544977188110352,What is the approximate distance in meters between <obj> and the ego vehicle?,47.7 m,15
980,SP-3a,space-perception,rwigle,scene_002,group_004_obj02,5a116570ae6e4e51a0ab0df0c42fa30c,-1.5347777605056763,What is the approximate distance in meters between <obj> and the ego vehicle?,56.5 m,15
981,SP-3a,space-perception,rwigle,scene_002,group_005,f47629cd48354a61986e739ba28799a4,-2.0317294597625732,What is the approximate distance in meters between <obj> and the ego vehicle?,63.3 m,0.0
982,SP-3a,space-perception,rwigle,scene_002,group_005_obj01,6d5ba0c851884b1194a5bbde96f7729d,-1.5479400157928467,What is the approximate distance in meters between <obj> and the ego vehicle?,23.2 m,10
983,SP-3a,space-perception,rwigle,scene_002,group_005_obj02,845199a52b6e47289ad2451494ebbd46,-1.367568016052246,What is the approximate distance in meters between <obj> and the ego vehicle?,19.5 m,12
984,SP-3a,space-perception,rwigle,scene_002,group_006,1189b8eace9747848b1563798a22aae6,-1.4687166213989258,What is the approximate distance in meters between <obj> and the ego vehicle?,30.9 m,15
